county_fips,state_po,year,democrats,green,libertarian,other,republican
19085,IA,2020,16719,135,85,866,26938
19087,IA,2020,23022,198,128,1383,31857
19089,IA,2020,14198,110,23,536,13211
19091,IA,2020,10921,104,39,525,19395
19093,IA,2020,7310,64,27,363,14172
19095,IA,2020,22048,203,102,1137,28435
19097,IA,2020,30476,240,79,1248,28642
19099,IA,2020,54482,297,207,2518,58547
19101,IA,2020,25250,238,95,2642,21880
19103,IA,2020,284091,3461,964,10075,129294
19105,IA,2020,28724,210,118,1167,30477
19107,IA,2020,12052,101,51,694,18444
19109,IA,2020,21806,216,61,909,30861
19111,IA,2020,53075,359,240,2507,47269
19113,IA,2020,375766,2431,2015,15715,283241
19115,IA,2020,12940,90,67,596,16088
19117,IA,2020,10460,71,30,530,15561
19119,IA,2020,7701,74,56,550,29028
19121,IA,2020,19648,140,124,1157,29302
19123,IA,2020,21350,156,134,1182,41300
19125,IA,2020,38903,232,233,2385,61116
19127,IA,2020,53873,371,216,2317,53848
19129,IA,2020,14769,138,100,986,27322
19131,IA,2020,15386,96,56,675,17020
19133,IA,2020,11533,96,36,522,16229
19135,IA,2020,9217,57,21,404,13567
