"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Ashley County, AR"	"05003"	"2011"	"2011"	11185
	"Female"	"F"	"Ashley County, AR"	"05003"	"2015"	"2015"	10748
"Total"	"Female"	"F"	"Ashley County, AR"	"05003"			21933
	"Female"	"F"	"Baxter County, AR"	"05005"	"2011"	"2011"	21428
	"Female"	"F"	"Baxter County, AR"	"05005"	"2015"	"2015"	21314
"Total"	"Female"	"F"	"Baxter County, AR"	"05005"			42742
	"Female"	"F"	"Benton County, AR"	"05007"	"2011"	"2011"	115974
	"Female"	"F"	"Benton County, AR"	"05007"	"2015"	"2015"	127106
"Total"	"Female"	"F"	"Benton County, AR"	"05007"			243080
	"Female"	"F"	"Boone County, AR"	"05009"	"2011"	"2011"	18894
	"Female"	"F"	"Boone County, AR"	"05009"	"2015"	"2015"	18765
"Total"	"Female"	"F"	"Boone County, AR"	"05009"			37659
	"Female"	"F"	"Bradley County, AR"	"05011"	"2011"	"2011"	5912
	"Female"	"F"	"Bradley County, AR"	"05011"	"2015"	"2015"	5642
"Total"	"Female"	"F"	"Bradley County, AR"	"05011"			11554
	"Female"	"F"	"Calhoun County, AR"	"05013"	"2011"	"2011"	2585
	"Female"	"F"	"Calhoun County, AR"	"05013"	"2015"	"2015"	2556
"Total"	"Female"	"F"	"Calhoun County, AR"	"05013"			5141
	"Female"	"F"	"Carroll County, AR"	"05015"	"2011"	"2011"	13918
