"Notes"	"Gender"	"Gender Code"	"County"	"County Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Female"	"F"	"Carroll County, AR"	"05015"	"2015"	"2015"	14039
"Total"	"Female"	"F"	"Carroll County, AR"	"05015"			27957
	"Female"	"F"	"Chicot County, AR"	"05017"	"2011"	"2011"	5922
	"Female"	"F"	"Chicot County, AR"	"05017"	"2015"	"2015"	5527
"Total"	"Female"	"F"	"Chicot County, AR"	"05017"			11449
	"Female"	"F"	"Clark County, AR"	"05019"	"2011"	"2011"	11978
	"Female"	"F"	"Clark County, AR"	"05019"	"2015"	"2015"	11825
"Total"	"Female"	"F"	"Clark County, AR"	"05019"			23803
	"Female"	"F"	"Clay County, AR"	"05021"	"2011"	"2011"	8105
	"Female"	"F"	"Clay County, AR"	"05021"	"2015"	"2015"	7766
"Total"	"Female"	"F"	"Clay County, AR"	"05021"			15871
	"Female"	"F"	"Cleburne County, AR"	"05023"	"2011"	"2011"	13098
	"Female"	"F"	"Cleburne County, AR"	"05023"	"2015"	"2015"	12871
"Total"	"Female"	"F"	"Cleburne County, AR"	"05023"			25969
	"Female"	"F"	"Cleveland County, AR"	"05025"	"2011"	"2011"	4403
	"Female"	"F"	"Cleveland County, AR"	"05025"	"2015"	"2015"	4203
"Total"	"Female"	"F"	"Cleveland County, AR"	"05025"			8606
	"Female"	"F"	"Columbia County, AR"	"05027"	"2011"	"2011"	12908
	"Female"	"F"	"Columbia County, AR"	"05027"	"2015"	"2015"	12515
"Total"	"Female"	"F"	"Columbia County, AR"	"05027"			25423
	"Female"	"F"	"Conway County, AR"	"05029"	"2011"	"2011"	10707
	"Female"	"F"	"Conway County, AR"	"05029"	"2015"	"2015"	10653
"Total"	"Female"	"F"	"Conway County, AR"	"05029"			21360
	"Female"	"F"	"Craighead County, AR"	"05031"	"2011"	"2011"	50404
	"Female"	"F"	"Craighead County, AR"	"05031"	"2015"	"2015"	53608
"Total"	"Female"	"F"	"Craighead County, AR"	"05031"			104012
	"Female"	"F"	"Crawford County, AR"	"05033"	"2011"	"2011"	31372
	"Female"	"F"	"Crawford County, AR"	"05033"	"2015"	"2015"	31427
"Total"	"Female"	"F"	"Crawford County, AR"	"05033"			62799
	"Female"	"F"	"Crittenden County, AR"	"05035"	"2011"	"2011"	26530
	"Female"	"F"	"Crittenden County, AR"	"05035"	"2015"	"2015"	25787
"Total"	"Female"	"F"	"Crittenden County, AR"	"05035"			52317
	"Female"	"F"	"Cross County, AR"	"05037"	"2011"	"2011"	9243
	"Female"	"F"	"Cross County, AR"	"05037"	"2015"	"2015"	8896
"Total"	"Female"	"F"	"Cross County, AR"	"05037"			18139
	"Female"	"F"	"Dallas County, AR"	"05039"	"2011"	"2011"	4117
	"Female"	"F"	"Dallas County, AR"	"05039"	"2015"	"2015"	3830
"Total"	"Female"	"F"	"Dallas County, AR"	"05039"			7947
	"Female"	"F"	"Desha County, AR"	"05041"	"2011"	"2011"	6771
	"Female"	"F"	"Desha County, AR"	"05041"	"2015"	"2015"	6407
"Total"	"Female"	"F"	"Desha County, AR"	"05041"			13178
	"Female"	"F"	"Drew County, AR"	"05043"	"2011"	"2011"	9578
	"Female"	"F"	"Drew County, AR"	"05043"	"2015"	"2015"	9530
"Total"	"Female"	"F"	"Drew County, AR"	"05043"			19108
	"Female"	"F"	"Faulkner County, AR"	"05045"	"2011"	"2011"	59354
	"Female"	"F"	"Faulkner County, AR"	"05045"	"2015"	"2015"	61930
"Total"	"Female"	"F"	"Faulkner County, AR"	"05045"			121284
	"Female"	"F"	"Franklin County, AR"	"05047"	"2011"	"2011"	9065
	"Female"	"F"	"Franklin County, AR"	"05047"	"2015"	"2015"	8932
"Total"	"Female"	"F"	"Franklin County, AR"	"05047"			17997
	"Female"	"F"	"Fulton County, AR"	"05049"	"2011"	"2011"	6230
	"Female"	"F"	"Fulton County, AR"	"05049"	"2015"	"2015"	6140
"Total"	"Female"	"F"	"Fulton County, AR"	"05049"			12370
	"Female"	"F"	"Garland County, AR"	"05051"	"2011"	"2011"	49891
	"Female"	"F"	"Garland County, AR"	"05051"	"2015"	"2015"	50567
"Total"	"Female"	"F"	"Garland County, AR"	"05051"			100458
	"Female"	"F"	"Grant County, AR"	"05053"	"2011"	"2011"	8994
	"Female"	"F"	"Grant County, AR"	"05053"	"2015"	"2015"	9052
"Total"	"Female"	"F"	"Grant County, AR"	"05053"			18046
	"Female"	"F"	"Greene County, AR"	"05055"	"2011"	"2011"	21779
	"Female"	"F"	"Greene County, AR"	"05055"	"2015"	"2015"	22463
"Total"	"Female"	"F"	"Greene County, AR"	"05055"			44242
	"Female"	"F"	"Hempstead County, AR"	"05057"	"2011"	"2011"	11604
	"Female"	"F"	"Hempstead County, AR"	"05057"	"2015"	"2015"	11434
"Total"	"Female"	"F"	"Hempstead County, AR"	"05057"			23038
	"Female"	"F"	"Hot Spring County, AR"	"05059"	"2011"	"2011"	16201
	"Female"	"F"	"Hot Spring County, AR"	"05059"	"2015"	"2015"	16095
"Total"	"Female"	"F"	"Hot Spring County, AR"	"05059"			32296
	"Female"	"F"	"Howard County, AR"	"05061"	"2011"	"2011"	7122
	"Female"	"F"	"Howard County, AR"	"05061"	"2015"	"2015"	6918
"Total"	"Female"	"F"	"Howard County, AR"	"05061"			14040
	"Female"	"F"	"Independence County, AR"	"05063"	"2011"	"2011"	18829
	"Female"	"F"	"Independence County, AR"	"05063"	"2015"	"2015"	18992
"Total"	"Female"	"F"	"Independence County, AR"	"05063"			37821
	"Female"	"F"	"Izard County, AR"	"05065"	"2011"	"2011"	6585
	"Female"	"F"	"Izard County, AR"	"05065"	"2015"	"2015"	6498
"Total"	"Female"	"F"	"Izard County, AR"	"05065"			13083
	"Female"	"F"	"Jackson County, AR"	"05067"	"2011"	"2011"	9026
	"Female"	"F"	"Jackson County, AR"	"05067"	"2015"	"2015"	8800
"Total"	"Female"	"F"	"Jackson County, AR"	"05067"			17826
	"Female"	"F"	"Jefferson County, AR"	"05069"	"2011"	"2011"	38603
	"Female"	"F"	"Jefferson County, AR"	"05069"	"2015"	"2015"	36379
"Total"	"Female"	"F"	"Jefferson County, AR"	"05069"			74982
	"Female"	"F"	"Johnson County, AR"	"05071"	"2011"	"2011"	12938
	"Female"	"F"	"Johnson County, AR"	"05071"	"2015"	"2015"	13121
"Total"	"Female"	"F"	"Johnson County, AR"	"05071"			26059
	"Female"	"F"	"Lafayette County, AR"	"05073"	"2011"	"2011"	3894
	"Female"	"F"	"Lafayette County, AR"	"05073"	"2015"	"2015"	3603
"Total"	"Female"	"F"	"Lafayette County, AR"	"05073"			7497
	"Female"	"F"	"Lawrence County, AR"	"05075"	"2011"	"2011"	8850
	"Female"	"F"	"Lawrence County, AR"	"05075"	"2015"	"2015"	8457
"Total"	"Female"	"F"	"Lawrence County, AR"	"05075"			17307
	"Female"	"F"	"Lee County, AR"	"05077"	"2011"	"2011"	4566
	"Female"	"F"	"Lee County, AR"	"05077"	"2015"	"2015"	4237
"Total"	"Female"	"F"	"Lee County, AR"	"05077"			8803
	"Female"	"F"	"Lincoln County, AR"	"05079"	"2011"	"2011"	5610
	"Female"	"F"	"Lincoln County, AR"	"05079"	"2015"	"2015"	5325
"Total"	"Female"	"F"	"Lincoln County, AR"	"05079"			10935
	"Female"	"F"	"Little River County, AR"	"05081"	"2011"	"2011"	6623
	"Female"	"F"	"Little River County, AR"	"05081"	"2015"	"2015"	6340
"Total"	"Female"	"F"	"Little River County, AR"	"05081"			12963
	"Female"	"F"	"Logan County, AR"	"05083"	"2011"	"2011"	11118
	"Female"	"F"	"Logan County, AR"	"05083"	"2015"	"2015"	10916
"Total"	"Female"	"F"	"Logan County, AR"	"05083"			22034
	"Female"	"F"	"Lonoke County, AR"	"05085"	"2011"	"2011"	35195
	"Female"	"F"	"Lonoke County, AR"	"05085"	"2015"	"2015"	36025
"Total"	"Female"	"F"	"Lonoke County, AR"	"05085"			71220
	"Female"	"F"	"Madison County, AR"	"05087"	"2011"	"2011"	7821
	"Female"	"F"	"Madison County, AR"	"05087"	"2015"	"2015"	7841
"Total"	"Female"	"F"	"Madison County, AR"	"05087"			15662
	"Female"	"F"	"Marion County, AR"	"05089"	"2011"	"2011"	8352
	"Female"	"F"	"Marion County, AR"	"05089"	"2015"	"2015"	8169
"Total"	"Female"	"F"	"Marion County, AR"	"05089"			16521
	"Female"	"F"	"Miller County, AR"	"05091"	"2011"	"2011"	22208
	"Female"	"F"	"Miller County, AR"	"05091"	"2015"	"2015"	22140
"Total"	"Female"	"F"	"Miller County, AR"	"05091"			44348
	"Female"	"F"	"Mississippi County, AR"	"05093"	"2011"	"2011"	23667
	"Female"	"F"	"Mississippi County, AR"	"05093"	"2015"	"2015"	22461
"Total"	"Female"	"F"	"Mississippi County, AR"	"05093"			46128
	"Female"	"F"	"Monroe County, AR"	"05095"	"2011"	"2011"	4227
	"Female"	"F"	"Monroe County, AR"	"05095"	"2015"	"2015"	3938
"Total"	"Female"	"F"	"Monroe County, AR"	"05095"			8165
	"Female"	"F"	"Montgomery County, AR"	"05097"	"2011"	"2011"	4692
	"Female"	"F"	"Montgomery County, AR"	"05097"	"2015"	"2015"	4516
"Total"	"Female"	"F"	"Montgomery County, AR"	"05097"			9208
	"Female"	"F"	"Nevada County, AR"	"05099"	"2011"	"2011"	4602
	"Female"	"F"	"Nevada County, AR"	"05099"	"2015"	"2015"	4279
"Total"	"Female"	"F"	"Nevada County, AR"	"05099"			8881
	"Female"	"F"	"Newton County, AR"	"05101"	"2011"	"2011"	4097
	"Female"	"F"	"Newton County, AR"	"05101"	"2015"	"2015"	3868
"Total"	"Female"	"F"	"Newton County, AR"	"05101"			7965
	"Female"	"F"	"Ouachita County, AR"	"05103"	"2011"	"2011"	13579
	"Female"	"F"	"Ouachita County, AR"	"05103"	"2015"	"2015"	12784
"Total"	"Female"	"F"	"Ouachita County, AR"	"05103"			26363
	"Female"	"F"	"Perry County, AR"	"05105"	"2011"	"2011"	5221
	"Female"	"F"	"Perry County, AR"	"05105"	"2015"	"2015"	5201
"Total"	"Female"	"F"	"Perry County, AR"	"05105"			10422
	"Female"	"F"	"Phillips County, AR"	"05107"	"2011"	"2011"	11385
	"Female"	"F"	"Phillips County, AR"	"05107"	"2015"	"2015"	10335
"Total"	"Female"	"F"	"Phillips County, AR"	"05107"			21720
	"Female"	"F"	"Pike County, AR"	"05109"	"2011"	"2011"	5630
	"Female"	"F"	"Pike County, AR"	"05109"	"2015"	"2015"	5404
"Total"	"Female"	"F"	"Pike County, AR"	"05109"			11034
	"Female"	"F"	"Poinsett County, AR"	"05111"	"2011"	"2011"	12563
	"Female"	"F"	"Poinsett County, AR"	"05111"	"2015"	"2015"	12262
"Total"	"Female"	"F"	"Poinsett County, AR"	"05111"			24825
	"Female"	"F"	"Polk County, AR"	"05113"	"2011"	"2011"	10451
	"Female"	"F"	"Polk County, AR"	"05113"	"2015"	"2015"	10303
"Total"	"Female"	"F"	"Polk County, AR"	"05113"			20754
	"Female"	"F"	"Pope County, AR"	"05115"	"2011"	"2011"	31603
	"Female"	"F"	"Pope County, AR"	"05115"	"2015"	"2015"	32079
"Total"	"Female"	"F"	"Pope County, AR"	"05115"			63682
	"Female"	"F"	"Prairie County, AR"	"05117"	"2011"	"2011"	4341
	"Female"	"F"	"Prairie County, AR"	"05117"	"2015"	"2015"	4167
"Total"	"Female"	"F"	"Prairie County, AR"	"05117"			8508
	"Female"	"F"	"Pulaski County, AR"	"05119"	"2011"	"2011"	201133
	"Female"	"F"	"Pulaski County, AR"	"05119"	"2015"	"2015"	204832
"Total"	"Female"	"F"	"Pulaski County, AR"	"05119"			405965
	"Female"	"F"	"Randolph County, AR"	"05121"	"2011"	"2011"	9150
	"Female"	"F"	"Randolph County, AR"	"05121"	"2015"	"2015"	8821
"Total"	"Female"	"F"	"Randolph County, AR"	"05121"			17971
	"Female"	"F"	"St. Francis County, AR"	"05123"	"2011"	"2011"	12736
	"Female"	"F"	"St. Francis County, AR"	"05123"	"2015"	"2015"	12129
"Total"	"Female"	"F"	"St. Francis County, AR"	"05123"			24865
	"Female"	"F"	"Saline County, AR"	"05125"	"2011"	"2011"	55513
	"Female"	"F"	"Saline County, AR"	"05125"	"2015"	"2015"	59263
"Total"	"Female"	"F"	"Saline County, AR"	"05125"			114776
	"Female"	"F"	"Scott County, AR"	"05127"	"2011"	"2011"	5589
	"Female"	"F"	"Scott County, AR"	"05127"	"2015"	"2015"	5196
"Total"	"Female"	"F"	"Scott County, AR"	"05127"			10785
	"Female"	"F"	"Searcy County, AR"	"05129"	"2011"	"2011"	4047
	"Female"	"F"	"Searcy County, AR"	"05129"	"2015"	"2015"	3888
"Total"	"Female"	"F"	"Searcy County, AR"	"05129"			7935
	"Female"	"F"	"Sebastian County, AR"	"05131"	"2011"	"2011"	64688
	"Female"	"F"	"Sebastian County, AR"	"05131"	"2015"	"2015"	64953
"Total"	"Female"	"F"	"Sebastian County, AR"	"05131"			129641
	"Female"	"F"	"Sevier County, AR"	"05133"	"2011"	"2011"	8672
	"Female"	"F"	"Sevier County, AR"	"05133"	"2015"	"2015"	8654
"Total"	"Female"	"F"	"Sevier County, AR"	"05133"			17326
	"Female"	"F"	"Sharp County, AR"	"05135"	"2011"	"2011"	8724
	"Female"	"F"	"Sharp County, AR"	"05135"	"2015"	"2015"	8548
"Total"	"Female"	"F"	"Sharp County, AR"	"05135"			17272
	"Female"	"F"	"Stone County, AR"	"05137"	"2011"	"2011"	6320
	"Female"	"F"	"Stone County, AR"	"05137"	"2015"	"2015"	6298
"Total"	"Female"	"F"	"Stone County, AR"	"05137"			12618
	"Female"	"F"	"Union County, AR"	"05139"	"2011"	"2011"	21263
	"Female"	"F"	"Union County, AR"	"05139"	"2015"	"2015"	20516
"Total"	"Female"	"F"	"Union County, AR"	"05139"			41779
	"Female"	"F"	"Van Buren County, AR"	"05141"	"2011"	"2011"	8654
	"Female"	"F"	"Van Buren County, AR"	"05141"	"2015"	"2015"	8468
"Total"	"Female"	"F"	"Van Buren County, AR"	"05141"			17122
	"Female"	"F"	"Washington County, AR"	"05143"	"2011"	"2011"	104068
	"Female"	"F"	"Washington County, AR"	"05143"	"2015"	"2015"	112307
"Total"	"Female"	"F"	"Washington County, AR"	"05143"			216375
	"Female"	"F"	"White County, AR"	"05145"	"2011"	"2011"	39797
	"Female"	"F"	"White County, AR"	"05145"	"2015"	"2015"	40409
"Total"	"Female"	"F"	"White County, AR"	"05145"			80206
	"Female"	"F"	"Woodruff County, AR"	"05147"	"2011"	"2011"	3734
	"Female"	"F"	"Woodruff County, AR"	"05147"	"2015"	"2015"	3518
"Total"	"Female"	"F"	"Woodruff County, AR"	"05147"			7252
	"Female"	"F"	"Yell County, AR"	"05149"	"2011"	"2011"	11034
	"Female"	"F"	"Yell County, AR"	"05149"	"2015"	"2015"	10717
"Total"	"Female"	"F"	"Yell County, AR"	"05149"			21751
	"Female"	"F"	"Alameda County, CA"	"06001"	"2011"	"2011"	780808
	"Female"	"F"	"Alameda County, CA"	"06001"	"2015"	"2015"	832913
"Total"	"Female"	"F"	"Alameda County, CA"	"06001"			1613721
	"Female"	"F"	"Alpine County, CA"	"06003"	"2011"	"2011"	527
	"Female"	"F"	"Alpine County, CA"	"06003"	"2015"	"2015"	514
"Total"	"Female"	"F"	"Alpine County, CA"	"06003"			1041
	"Female"	"F"	"Amador County, CA"	"06005"	"2011"	"2011"	17239
	"Female"	"F"	"Amador County, CA"	"06005"	"2015"	"2015"	17366
"Total"	"Female"	"F"	"Amador County, CA"	"06005"			34605
	"Female"	"F"	"Butte County, CA"	"06007"	"2011"	"2011"	111001
	"Female"	"F"	"Butte County, CA"	"06007"	"2015"	"2015"	113564
"Total"	"Female"	"F"	"Butte County, CA"	"06007"			224565
	"Female"	"F"	"Calaveras County, CA"	"06009"	"2011"	"2011"	22552
	"Female"	"F"	"Calaveras County, CA"	"06009"	"2015"	"2015"	22515
"Total"	"Female"	"F"	"Calaveras County, CA"	"06009"			45067
	"Female"	"F"	"Colusa County, CA"	"06011"	"2011"	"2011"	10347
	"Female"	"F"	"Colusa County, CA"	"06011"	"2015"	"2015"	10381
"Total"	"Female"	"F"	"Colusa County, CA"	"06011"			20728
	"Female"	"F"	"Contra Costa County, CA"	"06013"	"2011"	"2011"	546079
	"Female"	"F"	"Contra Costa County, CA"	"06013"	"2015"	"2015"	575539
"Total"	"Female"	"F"	"Contra Costa County, CA"	"06013"			1121618
	"Female"	"F"	"Del Norte County, CA"	"06015"	"2011"	"2011"	12624
	"Female"	"F"	"Del Norte County, CA"	"06015"	"2015"	"2015"	12307
"Total"	"Female"	"F"	"Del Norte County, CA"	"06015"			24931
	"Female"	"F"	"El Dorado County, CA"	"06017"	"2011"	"2011"	90486
	"Female"	"F"	"El Dorado County, CA"	"06017"	"2015"	"2015"	92433
"Total"	"Female"	"F"	"El Dorado County, CA"	"06017"			182919
	"Female"	"F"	"Fresno County, CA"	"06019"	"2011"	"2011"	470958
	"Female"	"F"	"Fresno County, CA"	"06019"	"2015"	"2015"	485868
"Total"	"Female"	"F"	"Fresno County, CA"	"06019"			956826
	"Female"	"F"	"Glenn County, CA"	"06021"	"2011"	"2011"	13929
	"Female"	"F"	"Glenn County, CA"	"06021"	"2015"	"2015"	13755
"Total"	"Female"	"F"	"Glenn County, CA"	"06021"			27684
	"Female"	"F"	"Humboldt County, CA"	"06023"	"2011"	"2011"	67397
	"Female"	"F"	"Humboldt County, CA"	"06023"	"2015"	"2015"	67663
"Total"	"Female"	"F"	"Humboldt County, CA"	"06023"			135060
	"Female"	"F"	"Imperial County, CA"	"06025"	"2011"	"2011"	85570
	"Female"	"F"	"Imperial County, CA"	"06025"	"2015"	"2015"	87532
"Total"	"Female"	"F"	"Imperial County, CA"	"06025"			173102
	"Female"	"F"	"Inyo County, CA"	"06027"	"2011"	"2011"	9128
	"Female"	"F"	"Inyo County, CA"	"06027"	"2015"	"2015"	9042
"Total"	"Female"	"F"	"Inyo County, CA"	"06027"			18170
	"Female"	"F"	"Kern County, CA"	"06029"	"2011"	"2011"	411639
	"Female"	"F"	"Kern County, CA"	"06029"	"2015"	"2015"	426908
"Total"	"Female"	"F"	"Kern County, CA"	"06029"			838547
	"Female"	"F"	"Kings County, CA"	"06031"	"2011"	"2011"	66786
	"Female"	"F"	"Kings County, CA"	"06031"	"2015"	"2015"	67220
"Total"	"Female"	"F"	"Kings County, CA"	"06031"			134006
	"Female"	"F"	"Lake County, CA"	"06033"	"2011"	"2011"	32084
	"Female"	"F"	"Lake County, CA"	"06033"	"2015"	"2015"	32256
"Total"	"Female"	"F"	"Lake County, CA"	"06033"			64340
	"Female"	"F"	"Lassen County, CA"	"06035"	"2011"	"2011"	12164
	"Female"	"F"	"Lassen County, CA"	"06035"	"2015"	"2015"	11513
"Total"	"Female"	"F"	"Lassen County, CA"	"06035"			23677
	"Female"	"F"	"Los Angeles County, CA"	"06037"	"2011"	"2011"	5011751
	"Female"	"F"	"Los Angeles County, CA"	"06037"	"2015"	"2015"	5115604
"Total"	"Female"	"F"	"Los Angeles County, CA"	"06037"			10127355
	"Female"	"F"	"Madera County, CA"	"06039"	"2011"	"2011"	78559
	"Female"	"F"	"Madera County, CA"	"06039"	"2015"	"2015"	79540
"Total"	"Female"	"F"	"Madera County, CA"	"06039"			158099
	"Female"	"F"	"Marin County, CA"	"06041"	"2011"	"2011"	129861
	"Female"	"F"	"Marin County, CA"	"06041"	"2015"	"2015"	133510
"Total"	"Female"	"F"	"Marin County, CA"	"06041"			263371
	"Female"	"F"	"Mariposa County, CA"	"06043"	"2011"	"2011"	8933
	"Female"	"F"	"Mariposa County, CA"	"06043"	"2015"	"2015"	8689
"Total"	"Female"	"F"	"Mariposa County, CA"	"06043"			17622
	"Female"	"F"	"Mendocino County, CA"	"06045"	"2011"	"2011"	43750
	"Female"	"F"	"Mendocino County, CA"	"06045"	"2015"	"2015"	43796
"Total"	"Female"	"F"	"Mendocino County, CA"	"06045"			87546
	"Female"	"F"	"Merced County, CA"	"06047"	"2011"	"2011"	128744
	"Female"	"F"	"Merced County, CA"	"06047"	"2015"	"2015"	131947
"Total"	"Female"	"F"	"Merced County, CA"	"06047"			260691
	"Female"	"F"	"Modoc County, CA"	"06049"	"2011"	"2011"	4706
	"Female"	"F"	"Modoc County, CA"	"06049"	"2015"	"2015"	4472
"Total"	"Female"	"F"	"Modoc County, CA"	"06049"			9178
	"Female"	"F"	"Mono County, CA"	"06051"	"2011"	"2011"	6743
	"Female"	"F"	"Mono County, CA"	"06051"	"2015"	"2015"	6592
"Total"	"Female"	"F"	"Mono County, CA"	"06051"			13335
	"Female"	"F"	"Monterey County, CA"	"06053"	"2011"	"2011"	204445
	"Female"	"F"	"Monterey County, CA"	"06053"	"2015"	"2015"	211027
"Total"	"Female"	"F"	"Monterey County, CA"	"06053"			415472
	"Female"	"F"	"Napa County, CA"	"06055"	"2011"	"2011"	69005
	"Female"	"F"	"Napa County, CA"	"06055"	"2015"	"2015"	70615
"Total"	"Female"	"F"	"Napa County, CA"	"06055"			139620
	"Female"	"F"	"Nevada County, CA"	"06057"	"2011"	"2011"	49938
	"Female"	"F"	"Nevada County, CA"	"06057"	"2015"	"2015"	50078
"Total"	"Female"	"F"	"Nevada County, CA"	"06057"			100016
	"Female"	"F"	"Orange County, CA"	"06059"	"2011"	"2011"	1542405
	"Female"	"F"	"Orange County, CA"	"06059"	"2015"	"2015"	1593901
"Total"	"Female"	"F"	"Orange County, CA"	"06059"			3136306
	"Female"	"F"	"Placer County, CA"	"06061"	"2011"	"2011"	182272
	"Female"	"F"	"Placer County, CA"	"06061"	"2015"	"2015"	190903
"Total"	"Female"	"F"	"Placer County, CA"	"06061"			373175
	"Female"	"F"	"Plumas County, CA"	"06063"	"2011"	"2011"	9836
	"Female"	"F"	"Plumas County, CA"	"06063"	"2015"	"2015"	9217
"Total"	"Female"	"F"	"Plumas County, CA"	"06063"			19053
	"Female"	"F"	"Riverside County, CA"	"06065"	"2011"	"2011"	1122538
	"Female"	"F"	"Riverside County, CA"	"06065"	"2015"	"2015"	1179245
"Total"	"Female"	"F"	"Riverside County, CA"	"06065"			2301783
	"Female"	"F"	"Sacramento County, CA"	"06067"	"2011"	"2011"	732033
	"Female"	"F"	"Sacramento County, CA"	"06067"	"2015"	"2015"	764005
"Total"	"Female"	"F"	"Sacramento County, CA"	"06067"			1496038
	"Female"	"F"	"San Benito County, CA"	"06069"	"2011"	"2011"	28009
	"Female"	"F"	"San Benito County, CA"	"06069"	"2015"	"2015"	29124
"Total"	"Female"	"F"	"San Benito County, CA"	"06069"			57133
	"Female"	"F"	"San Bernardino County, CA"	"06071"	"2011"	"2011"	1036575
	"Female"	"F"	"San Bernardino County, CA"	"06071"	"2015"	"2015"	1062589
"Total"	"Female"	"F"	"San Bernardino County, CA"	"06071"			2099164
	"Female"	"F"	"San Diego County, CA"	"06073"	"2011"	"2011"	1563751
	"Female"	"F"	"San Diego County, CA"	"06073"	"2015"	"2015"	1629139
"Total"	"Female"	"F"	"San Diego County, CA"	"06073"			3192890
	"Female"	"F"	"San Francisco County, CA"	"06075"	"2011"	"2011"	401707
	"Female"	"F"	"San Francisco County, CA"	"06075"	"2015"	"2015"	422687
"Total"	"Female"	"F"	"San Francisco County, CA"	"06075"			824394
	"Female"	"F"	"San Joaquin County, CA"	"06077"	"2011"	"2011"	348891
	"Female"	"F"	"San Joaquin County, CA"	"06077"	"2015"	"2015"	362655
"Total"	"Female"	"F"	"San Joaquin County, CA"	"06077"			711546
	"Female"	"F"	"San Luis Obispo County, CA"	"06079"	"2011"	"2011"	132593
	"Female"	"F"	"San Luis Obispo County, CA"	"06079"	"2015"	"2015"	138071
"Total"	"Female"	"F"	"San Luis Obispo County, CA"	"06079"			270664
	"Female"	"F"	"San Mateo County, CA"	"06081"	"2011"	"2011"	370568
	"Female"	"F"	"San Mateo County, CA"	"06081"	"2015"	"2015"	388148
"Total"	"Female"	"F"	"San Mateo County, CA"	"06081"			758716
	"Female"	"F"	"Santa Barbara County, CA"	"06083"	"2011"	"2011"	212400
	"Female"	"F"	"Santa Barbara County, CA"	"06083"	"2015"	"2015"	220614
"Total"	"Female"	"F"	"Santa Barbara County, CA"	"06083"			433014
	"Female"	"F"	"Santa Clara County, CA"	"06085"	"2011"	"2011"	902834
	"Female"	"F"	"Santa Clara County, CA"	"06085"	"2015"	"2015"	950118
"Total"	"Female"	"F"	"Santa Clara County, CA"	"06085"			1852952
	"Female"	"F"	"Santa Cruz County, CA"	"06087"	"2011"	"2011"	133000
	"Female"	"F"	"Santa Cruz County, CA"	"06087"	"2015"	"2015"	137749
"Total"	"Female"	"F"	"Santa Cruz County, CA"	"06087"			270749
	"Female"	"F"	"Shasta County, CA"	"06089"	"2011"	"2011"	90380
	"Female"	"F"	"Shasta County, CA"	"06089"	"2015"	"2015"	90734
"Total"	"Female"	"F"	"Shasta County, CA"	"06089"			181114
	"Female"	"F"	"Sierra County, CA"	"06091"	"2011"	"2011"	1536
	"Female"	"F"	"Sierra County, CA"	"06091"	"2015"	"2015"	1473
"Total"	"Female"	"F"	"Sierra County, CA"	"06091"			3009
	"Female"	"F"	"Siskiyou County, CA"	"06093"	"2011"	"2011"	22402
	"Female"	"F"	"Siskiyou County, CA"	"06093"	"2015"	"2015"	21705
"Total"	"Female"	"F"	"Siskiyou County, CA"	"06093"			44107
	"Female"	"F"	"Solano County, CA"	"06095"	"2011"	"2011"	208693
	"Female"	"F"	"Solano County, CA"	"06095"	"2015"	"2015"	218106
"Total"	"Female"	"F"	"Solano County, CA"	"06095"			426799
	"Female"	"F"	"Sonoma County, CA"	"06097"	"2011"	"2011"	248287
	"Female"	"F"	"Sonoma County, CA"	"06097"	"2015"	"2015"	255936
"Total"	"Female"	"F"	"Sonoma County, CA"	"06097"			504223
	"Female"	"F"	"Stanislaus County, CA"	"06099"	"2011"	"2011"	261647
	"Female"	"F"	"Stanislaus County, CA"	"06099"	"2015"	"2015"	269374
"Total"	"Female"	"F"	"Stanislaus County, CA"	"06099"			531021
	"Female"	"F"	"Sutter County, CA"	"06101"	"2011"	"2011"	47616
	"Female"	"F"	"Sutter County, CA"	"06101"	"2015"	"2015"	47975
